기업명,신용평점,신용등급(종속변수),유동비율,당좌비율,부채비율,영업이익이자보상비율,차입금/자기자본,차입금/매출액,총자산증가율,매출액증가율,순이익증가율,재고자산회전율,매출채권회전율,총자본회전율,총자본순이익율,매출액순이익율,자기자본순이익율
(주)이씨에스텔레콤,4.0,0,276.7,271.3,57.1,94.6,4.3,1.7,24.3,21.4,7.6,41.1,2.9,1.3,8.8,6.6,13.0
우리이앤엘(주),8.0,1,138.1,136.5,85.1,-2.7,28.0,25.6,1.5,-24.7,-40.2,27.6,1.5,.7,-7.1,-10.5,-13.3
(주)휴니드테크놀러지스,4.0,0,156.8,107.2,71.6,18.3,39.5,21.3,3.1,195.7,1434.1,6.7,25.6,1.1,10.8,10.0,20.2
(주)디이엔티,8.0,1,146.1,104.1,178.8,-9.1,100.3,35.5,39.0,-19.4,44.9,5.3,2.8,.8,-12.7,-16.2,-27.0
(주)와이오엠,6.0,1,226.7,217.2,57.7,10.1,32.8,74.7,-39.5,-17.5,-50.4,8.6,1.8,.4,-57.6,-166.7,-97.4
팅크웨어(주),4.0,0,273.2,175.4,48.5,6.6,26.3,22.4,4.8,19.2,414.2,4.2,4.3,.9,1.6,1.8,2.4
(주)경인양행,5.0,0,135.1,64.4,51.8,2.5,32.2,35.3,5.9,2.4,3370.6,2.8,4.2,.6,1.3,2.1,2.0
대경기계기술(주),8.0,1,104.0,99.7,316.5,-2.4,127.1,48.2,-14.7,-14.5,38.0,42.6,1.3,.8,-7.5,-10.1,-31.9
삼우엠스(주),8.0,1,83.3,71.1,135.0,-.6,110.2,94.9,9.5,7.8,153.3,10.0,2.9,.5,-2.9,-5.5,-7.5
(주)강원랜드,2.0,0,250.8,250.6,22.2,2743.0,1.0,.7,7.8,3.9,5.7,1156.3,326.0,.4,11.9,26.9,14.6
(주)에스티오,5.0,0,140.9,26.5,120.1,4.7,62.1,23.1,-1.2,-.8,-26.2,2.7,20.4,1.3,4.3,3.3,9.9
(주)뉴트리바이오텍,5.0,0,149.0,128.1,77.5,31.6,31.2,21.5,42.8,55.7,122.6,13.5,6.9,.9,15.6,17.2,26.7
대원전선(주),5.0,0,131.1,113.9,145.5,3.0,42.9,10.0,3.9,-4.8,-24.9,21.8,3.6,2.1,1.3,.6,3.2
(주)디지아이,5.0,0,987.4,856.7,8.3,-92.9,.8,2.2,-6.7,-15.1,53.8,4.4,1.7,.4,-4.1,-11.8,-4.5
(주)한빛소프트,7.0,1,123.4,123.4,86.7,-2.8,19.1,31.5,-10.5,40.9,-15.5,62.1,3.9,.7,-25.0,-37.5,-49.2
(주)유니켐,8.0,1,121.6,43.1,135.1,2.0,103.4,65.3,38.0,167.7,51.6,1.7,2.4,.6,3.0,4.8,7.4
(주)퍼시스,2.0,0,494.1,438.8,13.1,1425.4,.4,.5,3.7,-4.9,-22.7,11.3,13.4,.6,5.7,10.0,6.4
삼목에스폼(주),2.0,0,250.8,248.1,21.0,41.6,15.3,37.7,44.2,3.0,13.7,231.6,7.1,.9,12.8,14.1,15.8
(주)다우인큐브,5.0,0,281.0,281.0,27.6,3.3,10.8,6.3,-50.5,8.4,39.6,41.4,3.7,.8,-19.2,-24.7,-25.6
(주)컴투스,3.0,0,872.5,872.5,12.1,6332.2,.4,.3,22.0,19.4,20.5,2564.3,7.9,.8,23.1,30.0,26.2
한솔로지스틱스(주),6.0,1,125.4,125.4,121.9,8.4,45.9,25.9,7.6,1.9,-93.8,16.9,7.1,4.1,3.4,.8,7.6
(주)우성아이비,7.0,1,118.2,72.4,231.7,1.3,173.0,91.6,35.1,.1,59.9,3.1,2.2,.6,1.0,1.8,3.1
해성디에스(주),6.0,1,182.2,126.7,55.5,9.3,36.7,21.7,9.5,12.3,30.4,10.3,6.5,1.2,8.0,6.9,13.7
두산건설(주),8.0,1,72.3,69.6,172.6,.1,79.2,87.2,-26.4,7.5,80.4,22.6,.8,.4,-10.3,-29.2,-28.5
(주)와이비로드,5.0,0,221.3,216.5,34.7,4.7,28.4,22.4,7.5,-20.8,-31.9,37.2,1.8,.9,2.9,3.3,3.9
메가스터디교육(주),4.0,0,47.5,45.7,35.0,2210.1,1.6,.8,1.3,39.4,-56.3,231.6,34.3,.8,1.5,2.0,2.0
자화전자(주),3.0,0,293.5,283.1,29.8,59.3,10.7,8.0,7.4,12.3,-41.4,39.6,8.2,.9,3.4,3.7,4.3
삼륭물산(주),3.0,0,88.5,73.5,56.3,9.9,44.3,62.2,-.8,-2.2,27.7,8.5,5.8,.5,4.0,8.2,6.3
(주)상아프론테크,4.0,0,136.3,111.5,70.6,12.1,50.1,39.0,8.5,9.0,-2.1,8.9,3.2,.8,5.6,7.4,9.6
(주)국영지앤엠,5.0,0,252.9,218.2,29.9,3.4,6.4,6.0,3.1,28.3,6.8,19.1,3.8,.8,.6,.8,.8
(주)한국테크놀로지,7.0,1,188.1,183.1,50.9,-7.1,33.0,307.1,3.9,-37.9,912.7,4.3,2.9,.1,-27.4,-234.2,-52.6
삼진제약(주),2.0,0,312.5,221.9,34.1,98.4,5.3,7.9,3.1,10.5,11.6,5.6,2.7,1.1,13.5,12.6,19.0
기신정기(주),2.0,0,1007.3,829.3,5.9,130.0,3.6,3.7,2.1,-6.6,-48.5,5.4,3.8,.4,4.0,9.2,4.3
(주)동원개발,3.0,0,465.8,321.1,29.7,66776.6,.3,.3,19.8,3.8,8.7,2.2,2.9,.9,16.3,18.3,21.4
이니텍(주),2.0,0,200.2,173.4,21.4,929.2,1.7,.8,7.0,18.6,16.1,28.0,4.4,.7,4.5,6.9,5.4
(주)차바이오텍,5.0,0,873.8,872.2,45.7,-.8,13.2,76.8,19.6,17.2,48.4,138.5,9.3,.1,1.4,21.9,1.9
(주)연우,2.0,0,258.1,199.7,31.8,58.0,13.2,10.2,11.3,18.1,37.0,14.2,7.5,1.1,9.3,8.9,12.4
(주)해덕파워웨이,6.0,1,185.7,174.6,66.7,2.6,56.1,118.5,-1.9,-13.6,-77.9,5.6,9.3,.3,.9,3.1,1.5
(주)손오공,6.0,1,161.7,61.8,141.3,112.5,11.5,2.4,24.6,3.8,-91.5,4.6,5.3,2.0,1.3,.6,2.9
현우산업(주),5.0,0,91.1,62.7,99.8,5.5,53.5,28.5,3.2,11.9,5175.3,8.4,9.0,1.0,2.3,2.3,4.8
(주)나노,8.0,1,75.8,44.2,111.9,-4.4,95.3,166.3,-21.0,24.2,-68.3,1.9,3.7,.3,-27.7,-97.5,-61.1
무림페이퍼(주),7.0,1,61.8,42.9,175.3,1.6,152.1,105.9,-7.6,-14.3,111.5,6.2,5.1,.5,1.2,2.2,3.4
계룡건설산업(주),6.0,1,86.2,73.4,333.1,4.2,122.8,22.0,16.7,26.1,70.6,15.4,3.4,1.3,1.7,1.2,6.8
(주)유니온커뮤니티,4.0,0,334.6,268.5,63.1,15.8,39.0,32.9,57.2,1.4,165.4,6.4,2.8,1.0,12.7,13.3,25.0
(주)에이텍,3.0,0,232.6,172.9,36.5,399.1,2.2,.7,16.7,21.3,-12.3,17.9,16.5,1.8,10.9,6.1,14.8
(주)씨제이오쇼핑,4.0,0,80.9,72.4,62.7,39.7,7.3,9.9,-5.5,-2.1,-73.3,32.8,11.5,1.0,1.4,1.5,2.4
보성파워텍(주),5.0,0,244.8,195.0,37.0,-5.5,11.7,24.4,37.6,-8.9,-98.7,4.2,3.3,.6,.0,.0,.0
부산산업(주),3.0,0,128.7,124.1,30.4,26.8,5.6,6.2,2.8,1.8,4.8,89.2,4.0,.7,2.5,3.5,3.3
(주)케이피티유,5.0,0,52.0,42.7,109.3,1.0,73.4,103.5,4.5,-5.0,-22.5,11.5,3.6,.4,6.4,17.4,13.7
(주)필룩스,7.0,1,115.2,52.2,137.0,6.0,113.8,64.7,85.0,3.5,1.4,2.5,4.1,.6,3.2,5.2,6.3
동일금속(주),3.0,0,205.9,100.1,10.9,19.9,1.7,3.0,-.2,-22.0,-60.0,6.5,11.9,.5,2.8,5.3,3.1
(주)뷰웍스,1.0,0,547.8,413.9,17.0,44819.5,1.3,1.7,33.1,25.6,57.2,6.4,5.5,1.0,22.9,23.0,26.4
닉스테크(주),7.0,1,99.6,97.2,79.4,-37.0,28.2,25.4,20.4,-10.2,40.6,52.1,2.3,.6,-15.6,-24.6,-28.2
(주)엠피그룹,9.0,1,27.3,24.1,217.9,-8.0,117.3,31.5,-.9,-12.0,.5,62.6,13.4,1.0,-13.2,-13.6,-36.2
부국철강(주),3.0,0,811.7,653.4,10.4,9603.4,.4,.4,1.1,-15.4,2911.1,7.8,4.8,1.2,2.6,2.3,2.9
(주)케이씨씨건설,8.0,1,129.7,100.2,190.9,4.4,80.0,22.1,7.7,15.6,11.6,9.2,3.7,1.3,1.9,1.5,5.5
(주)싸이맥스,4.0,0,259.0,190.2,63.3,22.4,28.8,19.7,27.5,32.0,295.2,8.0,6.2,.9,8.0,8.8,12.1
(주)넷게임즈,2.0,0,560.5,560.5,32.0,900.0,34.5,2.1,12.3,255.4,22093.9,658.2,9.5,1.4,51.1,37.7,60.7
(주)스포츠서울,8.0,1,95.5,94.9,102.4,-14.9,42.4,29.0,72.5,-3.6,-2.1,230.7,2.4,.8,-21.9,-27.6,-55.0
(주)제이에스티나,4.0,0,212.6,138.0,55.2,8.5,39.2,18.9,-1.7,9.3,30.1,5.3,5.8,1.3,4.0,3.1,6.3
(주)제닉,2.0,0,385.6,284.5,24.2,23.0,12.6,13.2,.7,-2.4,-42.4,8.1,8.5,.8,2.2,2.8,2.9
상신전자(주),4.0,0,157.3,104.7,105.3,26.1,51.4,8.9,35.5,6.5,37.5,9.7,9.9,2.1,15.8,7.5,28.7
에스케이씨솔믹스(주),6.0,1,87.6,48.8,371.6,21.1,314.7,141.9,-26.2,8.1,9.1,3.7,3.4,.5,-19.4,-37.5,-135.4
(주)케이에스피,10.0,1,55.6,26.9,491.8,-16.1,293.4,112.7,-48.3,-35.0,8.6,1.6,3.6,.3,-71.3,-229.7,-157.2
(주)풍강,4.0,0,229.5,130.5,55.4,5.5,35.9,19.1,5.7,-2.7,-32.0,6.3,5.4,1.0,2.3,2.3,3.4
(주)신세계인터내셔날,4.0,0,108.2,38.8,98.1,3.4,72.3,35.0,3.2,1.1,-35.9,4.8,11.5,1.1,.9,.9,1.8
(주)SG충방,6.0,1,76.4,53.7,76.1,3.6,43.3,36.1,4.2,29.6,59.0,7.2,6.0,.7,1.5,2.2,2.7
태광산업(주),4.0,0,360.0,312.9,19.1,12.1,.5,1.1,2.1,-6.1,-10.4,12.0,7.6,.7,-.2,-.4,-.3
에이프로젠제약(주),7.0,1,205.2,186.1,57.4,.0,45.6,73.0,51.4,-1.3,-21.3,4.1,1.9,.3,-5.1,-17.8,-7.1
(주)포메탈,4.0,0,177.5,129.9,37.0,13.6,14.1,14.9,-.1,2.0,117.2,11.2,5.8,.8,3.4,4.1,4.8
(주)트루윈,8.0,1,71.7,61.5,269.1,-11.9,217.3,128.0,3.7,3.3,75.9,8.8,3.6,.4,-25.6,-58.8,-72.9
리노공업(주),2.0,0,990.1,950.1,7.9,21286.5,.4,.3,15.1,13.4,8.5,22.2,7.2,.6,17.5,31.4,18.7
한신기계공업(주),2.0,0,461.8,372.5,23.9,1409.2,.3,.3,4.3,-.6,-3.3,3.9,2.0,.7,6.5,10.0,8.2
(주)아모텍,5.0,0,121.7,97.9,103.4,6.6,72.9,51.3,-.5,-4.5,16.8,9.5,8.1,.7,4.6,6.2,9.7
(주)승일,3.0,0,251.9,181.2,29.5,21.4,7.6,8.4,2.5,10.7,-54.2,8.4,5.3,.8,1.9,2.3,2.4
(주)우노앤컴퍼니,3.0,0,1865.0,1648.8,15.8,144.1,14.5,4.2,8.1,-.1,-10.4,6.3,4.6,.5,-1.1,-2.2,-1.3
(주)로엔엔터테인먼트,3.0,0,227.0,226.8,49.1,563.8,7.0,6.5,26.9,25.0,27.3,1127.3,6.7,1.1,16.3,15.0,24.0
피에스케이(주),2.0,0,585.3,486.1,14.6,9096.4,.4,.3,16.5,23.5,66.3,6.3,12.6,.7,11.0,16.4,12.3
(주)케이에이치바텍,5.0,0,357.9,328.7,13.5,-630.6,3.6,2.9,-11.9,-65.8,-18.0,13.1,5.0,.5,-6.3,-12.2,-7.2
한국전력기술(주),6.0,1,94.5,94.5,86.4,5.5,21.8,17.8,-8.0,-23.1,-42.7,68.3,3.1,.6,2.2,3.5,4.2
신라교역(주),4.0,0,536.1,471.1,13.3,12.7,2.6,6.3,3.0,5.1,-3.8,9.1,6.6,.6,4.4,7.7,5.0
(주)녹십자홀딩스,5.0,0,93.8,14.1,48.5,6.0,33.5,191.8,2.0,105.8,50.5,.7,7.1,.1,3.2,27.3,4.8
삼일제약(주),6.0,1,129.8,103.3,90.0,3.5,57.2,30.4,1.8,10.0,30.1,7.5,3.0,1.0,.9,.9,1.6
고려개발(주),9.0,1,65.1,52.1,2731.0,2.7,1337.1,54.4,-5.1,2.8,-23.3,8.6,3.6,1.0,-4.9,-4.9,-67.6
(주)SIMPAC,4.0,0,105.6,73.9,60.0,20.9,17.5,19.1,-.8,1.3,-15.5,4.8,3.8,.6,4.5,7.6,7.3
(주)아가방앤컴퍼니,3.0,0,404.8,270.5,30.1,18.0,1.4,1.8,2.1,-5.3,434.0,4.4,3.4,.6,.9,1.4,1.2
(주)샘코,4.0,0,159.5,111.6,80.9,5.3,49.9,37.3,17.3,4.7,35.9,6.3,3.6,.9,6.1,7.1,11.4
시그네틱스(주),6.0,1,91.8,54.0,50.0,-9.4,22.7,14.9,9.5,3.2,-47.8,10.1,8.8,.9,-2.5,-2.8,-3.6
(주)씨트리,7.0,1,355.2,314.0,118.2,.6,80.2,53.7,66.0,14.9,51.2,7.2,2.5,.6,1.8,2.8,3.7
제이엠티(주),5.0,0,201.7,180.9,43.4,42.2,10.7,3.3,27.2,12.0,40.7,27.8,5.2,1.9,7.4,4.0,10.0
(주)일신석재,6.0,1,146.5,94.4,55.6,-6.6,24.3,29.1,-2.5,6.0,-15.5,4.0,4.2,.5,-2.8,-5.3,-4.4
화일약품(주),4.0,0,397.1,267.7,28.8,3.6,15.1,18.8,-8.3,5.1,17.0,3.9,2.6,.8,4.8,5.7,6.4
CJ제일제당(주),4.0,0,76.5,48.9,119.8,4.1,83.9,50.3,10.0,7.1,25.0,9.9,11.3,.7,2.9,4.1,6.3
(주)액트,9.0,1,74.6,63.9,98.2,-3.2,70.7,34.7,28.7,19.7,-16.5,14.5,6.1,1.0,-8.3,-8.3,-16.1
솔브레인(주),2.0,0,160.0,141.4,29.7,47.4,16.8,15.1,12.9,13.0,34.1,22.8,7.0,.9,12.0,13.1,15.7
디케이락(주),3.0,0,363.6,205.2,26.1,11.7,9.3,13.8,.6,-4.3,-35.3,2.2,2.9,.5,2.7,5.0,3.4
엔브이에이치코리아(주),5.0,0,138.8,135.9,64.9,7.6,7.7,8.3,-8.3,4.1,18.6,145.6,5.3,1.3,8.1,6.5,14.4
테고사이언스(주),4.0,0,4469.4,4363.2,70.7,16.5,45.7,71.5,72.9,11.4,-41.6,14.9,2.6,.2,2.5,10.5,3.4
(주)엠에스오토텍,6.0,1,54.0,53.3,169.8,1.1,117.7,81.4,-3.5,-28.2,-29.5,132.1,3.0,.5,1.6,3.0,4.5
대한해운(주),6.0,1,74.8,52.1,217.5,1.5,199.9,203.9,27.6,2.7,-27.7,11.1,6.4,.3,1.6,5.3,4.7
(주)코메론,2.0,0,395.7,356.3,17.9,120.5,10.3,11.3,21.9,10.8,20.5,7.8,4.5,.5,11.0,21.2,12.6
라온시큐어(주),4.0,0,277.6,277.6,33.7,46.3,13.2,10.2,3.1,35.8,203.0,114.6,3.6,1.0,11.4,11.2,16.2
(주)파워로직스,6.0,1,112.7,107.5,105.7,1.6,32.5,10.7,3.5,-9.7,98.8,46.7,3.7,1.6,.3,.2,.6
디엠씨(주),7.0,1,45.8,25.0,186.7,10.4,143.3,45.0,26.5,4.9,112.9,8.6,10.6,1.2,8.3,7.1,23.9
삼강엠앤티(주),6.0,1,23.8,22.6,226.4,1.8,157.4,71.6,-9.7,-10.0,-59.7,80.7,5.2,.7,1.3,1.8,4.9
(주)티씨케이,2.0,0,386.5,307.4,15.4,177.5,6.4,8.0,27.2,44.4,72.7,7.8,9.9,.8,19.4,25.4,21.9
(주)오리콤,4.0,0,102.5,102.5,116.0,1135.9,1.7,.8,-6.3,2.2,72.4,21.2,4.7,.7,3.2,4.7,7.2
(주)에스엔텍,5.0,0,294.0,273.2,72.5,1.4,37.0,15.5,5.9,19.3,-87.4,33.9,3.1,1.2,1.5,1.2,2.5
케이씨코트렐(주),5.0,0,128.2,125.3,115.9,25.1,1.7,2.7,4.1,-7.1,33.6,66.8,3.2,1.2,.8,.7,2.0
(주)동양고속,2.0,0,66.3,51.9,81.8,8.8,53.6,43.5,.2,14.5,52.7,16.2,79.5,.7,5.7,8.5,10.4
한국콜마(주),2.0,0,153.5,108.9,50.7,185.9,8.6,3.0,23.3,22.3,22.1,12.6,6.1,1.7,14.7,8.4,22.0
그랜드백화점(주),6.0,1,62.4,59.2,66.4,1.4,42.2,131.0,-7.0,-1.7,-98.5,18.0,58.7,.2,.1,.7,.2
AJ네트웍스(주),6.0,1,49.3,47.6,185.9,2.0,168.2,161.6,31.5,24.7,-16.4,35.4,6.5,.4,2.3,6.5,5.9
(주)휘닉스소재,8.0,1,68.3,49.4,78.6,.7,64.5,55.2,-3.2,108.1,115.4,15.1,34.2,.8,-6.5,-8.0,-13.4
팬오션(주),6.0,1,98.7,89.3,69.0,3.6,59.8,93.5,.7,-8.8,60.7,36.6,8.5,.4,2.1,5.7,3.7
한세실업(주),5.0,0,140.0,105.7,101.6,15.2,80.3,24.7,7.2,-2.9,-54.9,9.8,9.6,1.5,4.8,3.1,9.7
(주)한샘,3.0,0,153.8,133.6,62.5,72.9,1.0,.3,17.9,13.7,16.3,30.9,19.1,2.4,16.2,6.8,27.1
(주)LG생활건강,3.0,0,114.7,71.8,64.7,35.3,37.6,23.3,4.7,20.8,66.4,13.2,11.9,1.2,16.9,13.9,30.5
서울전자통신(주),6.0,1,123.4,79.2,81.5,3.8,42.9,21.9,27.6,188.2,287.5,8.4,5.4,1.0,7.9,8.2,14.1
(주)영풍,2.0,0,487.4,275.7,24.9,38.1,2.9,4.9,2.7,8.1,40.7,5.7,17.4,.6,3.9,7.1,4.9
(주)지어소프트,7.0,1,99.1,97.7,360.8,-14.0,62.1,5.6,-3.7,101.2,69.6,445.0,5.2,1.9,-42.0,-21.8,-112.0
코스맥스비티아이(주),5.0,0,62.9,62.9,34.2,5.9,29.1,222.7,16.6,61.2,40.8,1960.0,3.9,.1,1.9,26.2,2.4
한국유나이티드제약(주),2.0,0,291.1,221.3,32.0,42.1,12.0,13.9,1.6,9.2,-10.2,6.6,4.0,.8,8.4,11.0,11.2
(주)메디프론디비티,5.0,0,581.4,392.6,8.5,-2.6,12.2,22.0,-10.0,59.4,40.2,5.4,1.8,.5,-13.5,-30.3,-16.1
(주)오스템,5.0,0,85.9,76.1,95.5,2.6,64.2,47.6,-9.7,-3.9,-13.0,19.1,3.2,.8,3.6,4.7,7.8
(주)케이씨씨,4.0,0,116.4,90.1,52.6,5.7,34.4,57.8,5.6,2.8,-15.7,7.2,4.3,.4,1.5,4.2,2.3
(주)한국종합기술,5.0,0,141.9,141.9,98.1,2.7,29.6,18.9,7.4,8.4,159.4,33.8,3.2,.9,1.3,1.5,2.5
(주)WISCOM,3.0,0,687.0,624.7,11.6,93.0,3.3,8.5,1.8,-6.3,-27.4,17.7,4.6,1.0,1.3,1.3,1.4
(주)인스코비,7.0,1,105.2,89.6,31.8,-3.0,16.1,64.6,-5.6,52.0,-38.0,9.1,5.4,.3,-14.8,-47.3,-22.1
(주)아이지스시스템,6.0,1,146.7,146.7,42.5,-2.0,18.4,21.1,-3.8,-12.8,-9.5,22.3,15.0,.9,-5.0,-5.6,-7.8
(주)텔레필드,6.0,1,251.0,136.8,95.1,-4.4,50.2,23.5,-2.6,15.2,96.5,2.5,2.4,.9,-5.4,-6.1,-10.2
(주)종근당,5.0,0,160.2,113.7,81.1,14.7,35.2,15.0,11.4,40.4,54.2,8.8,4.6,1.4,6.7,4.9,12.2
(주)피씨디렉트,5.0,0,213.3,168.3,83.6,8.2,33.5,4.7,2.6,5.3,643.0,20.4,7.8,4.2,2.6,.6,5.0
(주)유니크,5.0,0,76.1,65.2,124.6,2.9,70.4,22.6,5.8,10.9,29.9,26.1,6.8,1.4,4.0,2.9,9.0
(주)레드캡투어,4.0,0,31.2,31.2,207.9,3.3,170.6,93.9,10.6,13.9,-17.6,79.9,16.1,.6,2.9,4.9,8.6
대원산업(주),4.0,0,201.9,189.2,67.9,241.4,2.1,1.5,12.1,-.2,3.8,42.8,5.0,1.8,7.0,3.9,11.6
파미셀(주),4.0,0,1675.6,1461.5,7.8,-10.1,8.7,5.4,-.1,10.6,-29.5,8.3,2.4,.3,-.7,-2.4,-.7
유니온머티리얼(주),2.0,0,275.9,198.3,42.2,23.5,10.4,12.0,-.2,4.1,36.1,6.2,2.8,.8,4.8,6.4,7.0
(주)지에스홈쇼핑,2.0,0,226.9,224.2,36.7,60.8,14.0,17.6,9.4,-2.4,28.1,67.3,75.1,.8,8.0,9.7,10.8
(주)오리엔트바이오,6.0,1,204.8,128.9,27.4,-4.1,18.2,69.1,35.5,-3.2,92.3,2.0,2.8,.2,-3.4,-13.9,-4.4
(주)디지틀조선일보,2.0,0,710.7,709.4,9.5,815.6,4.5,5.2,2.8,12.4,-8.4,480.0,1.8,.6,6.4,11.7,7.1
피에스텍(주),3.0,0,1363.0,1242.3,11.2,49.7,5.4,9.7,6.0,-9.6,-51.2,7.0,5.4,.4,3.2,8.9,3.5
(주)바이넥스,6.0,1,192.1,154.3,23.3,-1.1,17.3,29.8,-1.6,21.6,7.2,8.6,3.1,.5,-1.8,-3.8,-2.2
(주)썸에이지,6.0,1,1776.1,1776.1,8.8,-3.4,3.3,9.4,203.7,-37.0,-10.4,12.5,7.0,.2,-27.9,-115.4,-32.0
코스모신소재(주),9.0,1,65.1,48.0,347.0,.7,242.0,67.2,3.2,42.6,39.8,10.2,12.9,.8,.6,.7,2.8
갑을메탈(주),8.0,1,114.6,76.5,238.8,2.6,177.7,20.3,28.7,-21.7,40.3,12.2,6.5,2.6,2.3,.9,7.1
(주)농심,2.0,0,187.6,160.8,30.1,44.2,2.3,3.5,3.2,-.9,68.6,14.4,11.5,.8,8.5,10.4,11.4
영보화학(주),3.0,0,115.1,102.2,44.5,10.0,22.8,30.9,-.4,-9.2,-19.6,13.7,3.7,.6,3.9,6.7,5.7
화천기공(주),3.0,0,418.0,345.6,25.6,16.1,5.0,8.8,2.1,-14.1,-45.9,5.9,3.5,.5,2.8,5.4,3.5
신성통상(주),6.0,1,100.5,46.0,182.9,2.5,131.0,35.9,4.3,9.2,31.8,4.1,8.4,1.3,1.7,1.3,4.7
우리이티아이(주),7.0,1,80.7,72.6,63.4,-4.1,42.7,99.4,9.0,-9.9,20.2,17.4,2.4,.3,-6.5,-22.7,-10.7
우진비앤지(주),7.0,1,173.5,108.0,162.7,.5,131.2,83.1,37.7,18.3,-50.3,3.7,5.6,.6,.4,.6,.8
에스지에이솔루션즈(주),5.0,0,228.1,180.4,71.4,4.3,48.9,45.0,53.0,109.9,2.5,4.7,2.1,.5,5.4,10.6,8.5
(주)씨아이테크,5.0,0,587.3,498.0,9.5,-4.2,2.6,35.3,-2.0,-25.5,-20.1,10.1,1.9,.2,-7.5,-30.9,-8.7
휠라코리아(주),6.0,1,86.3,33.5,104.1,-3.0,89.7,98.1,6.9,-11.7,-44.1,3.1,12.0,.4,-2.4,-5.8,-4.7
삼보산업(주),9.0,1,49.8,35.4,1448.0,.3,1261.3,55.4,.1,-8.4,4.5,12.7,5.0,1.5,-2.1,-1.4,-27.8
(주)뉴로스,6.0,1,166.3,121.4,76.8,2.8,58.7,59.4,21.9,17.5,103.7,2.5,1.3,.5,2.6,5.1,4.2
(주)바른전자,6.0,1,142.0,74.8,89.9,1.4,64.9,17.1,1.7,7.2,-59.4,7.5,11.0,2.0,1.4,.7,2.9
(주)티에이치엔,5.0,0,96.7,82.7,175.7,4.4,78.8,24.4,5.0,7.1,6.0,15.2,3.5,1.2,5.3,4.4,15.9
(주)성광벤드,3.0,0,1081.8,558.0,9.1,38.4,3.1,1.8,-3.3,-19.5,-85.0,1.5,2.9,.4,.5,1.4,.6
(주)엔씨소프트,3.0,0,553.7,553.6,18.6,107.9,7.8,10.1,8.4,20.7,45.4,4154.4,6.2,.3,12.5,36.7,14.7
(주)화진,3.0,0,276.7,254.6,40.3,20.6,19.7,18.6,1.9,-1.2,-20.6,23.5,6.0,.8,5.7,7.2,8.0
흥구석유(주),3.0,0,411.7,341.5,14.4,7.7,8.7,3.8,1.4,-7.3,-25.7,69.0,25.4,1.8,2.8,1.5,3.2
(주)동양,4.0,0,860.7,784.9,7.9,381.5,3.3,.2,-17.9,9.7,-98.1,9.3,2.0,.4,1.2,3.2,1.3
(주)테이팩스,5.0,0,158.9,106.2,940.8,8.3,666.8,41.0,-14.6,-1.4,-10.6,11.2,6.1,1.1,8.4,7.8,25.9
(주)태웅,4.0,0,358.2,265.3,54.0,10.1,33.1,49.7,13.6,-11.9,79.2,4.0,3.6,.4,1.5,4.3,2.3
디에스티(주),8.0,1,84.9,82.4,120.4,-1.1,66.9,93.4,-13.7,21.1,-36.5,28.8,6.2,.3,-39.6,-150.7,-79.1
(주)엔지스테크널러지,5.0,0,233.2,233.2,31.4,17.8,21.4,42.0,67.9,-41.8,-83.8,11.2,5.5,.4,2.9,7.7,4.1
만호제강(주),3.0,0,425.3,365.9,19.2,11.8,9.4,10.5,-.8,-7.4,-41.3,8.2,3.7,.8,1.5,1.9,1.8
(주)휴온스,5.0,0,148.3,110.4,83.2,42.3,33.9,19.2,21.6,16.6,13.3,5.7,2.6,1.0,9.5,9.8,17.3
코나아이(주),5.0,0,245.7,175.3,39.3,-7.0,31.3,46.9,-14.7,-45.9,-40.4,1.8,3.5,.5,-1.9,-4.3,-2.7
금강철강(주),2.0,0,460.8,437.6,22.3,301.3,3.8,2.7,2.5,2.0,-7.1,20.1,5.6,1.2,4.5,3.6,5.5
(주)한국코퍼레이션,8.0,1,67.2,67.2,262.3,.7,110.4,17.4,-48.8,11.5,-40.5,19.9,8.0,2.0,-38.2,-19.0,-103.1
(주)슈프리마에이치큐,3.0,0,904.9,778.6,5.3,454.7,3.3,1.5,44.2,7.4,-81.1,5.5,3.3,.3,2.3,8.6,2.4
(주)나이벡,8.0,1,187.8,151.1,133.4,-3.5,96.8,157.6,18.2,15.1,-18.6,3.2,2.2,.2,-14.3,-63.0,-29.3
(주)원익머트리얼즈,2.0,0,210.6,142.9,16.0,128.6,4.9,3.9,11.6,-10.3,-45.0,7.5,12.3,.7,5.6,8.3,6.4
레이젠(주),8.0,1,96.1,75.1,76.1,-8.7,56.7,36.4,-20.1,-12.5,-39.0,9.1,4.1,.8,-20.2,-24.8,-33.5
(주)동아지질,5.0,0,145.9,143.9,98.8,18.1,30.4,13.3,15.1,10.2,124.7,104.3,3.0,1.2,3.7,3.2,7.1
(주)웰크론,6.0,1,87.4,36.4,76.5,3.4,42.3,28.2,7.0,19.3,-65.9,5.0,12.3,.8,.8,1.0,1.4
인선이엔티(주),6.0,1,41.1,40.8,81.4,4.0,59.2,131.4,2.9,32.5,30.9,137.7,3.0,.3,.7,2.8,1.3
(주)에프티이앤이,8.0,1,120.7,104.9,88.3,.4,71.1,121.2,19.5,-8.5,3.1,4.1,1.2,.3,-4.6,-15.2,-8.4
(주)위닉스,7.0,1,117.1,51.7,106.1,.6,78.6,49.8,-13.7,13.2,188.2,3.0,7.4,.8,-7.1,-8.6,-14.6
